pair_id,decision
3b6e664b7c59fa758ebc028ed5029ab3 - aa9ee1e15ed725edb2b53803a63df1cd,🤔 Incertain
798602324b6d1b6dfc4c0d0ae0b7e4f6 - 0d483a5c2e52d67407be82e95288fbf7,🤔 Incertain
0d483a5c2e52d67407be82e95288fbf7 - 798602324b6d1b6dfc4c0d0ae0b7e4f6,🤔 Incertain
8b929e604ad9a103effe268e7dee6217 - 300c0a813a3b4c1d2c89165aa5924af6,🤔 Incertain
300c0a813a3b4c1d2c89165aa5924af6 - 8b929e604ad9a103effe268e7dee6217,🤔 Incertain
b27a79c2d4f959bb613c6e23f937e23b - c481f368c801faee82d4d933b48a894c,❌ Différent
c481f368c801faee82d4d933b48a894c - b27a79c2d4f959bb613c6e23f937e23b,❌ Différent
2d431a843cc0d5783a8b5dfc26c47d7c - f195b40f1dc61baf35f0e76b1f5f2f6b,❌ Différent
f195b40f1dc61baf35f0e76b1f5f2f6b - 2d431a843cc0d5783a8b5dfc26c47d7c,❌ Différent
19931bf613af779e719b83c809b5500d - eaf294b64d0a537b9300c1772364f09d,❌ Différent
eaf294b64d0a537b9300c1772364f09d - 19931bf613af779e719b83c809b5500d,❌ Différent
832101201a00d28ab029550aad1abeef - e9435fc6c6e95aeb63b65b5f7428f20a,❌ Différent
e9435fc6c6e95aeb63b65b5f7428f20a - 832101201a00d28ab029550aad1abeef,❌ Différent
0287ad163f4ba92a234518591fe308d4 - 84ea44dbcb65f851bee9d350800ee7c3,❌ Différent
84ea44dbcb65f851bee9d350800ee7c3 - 0287ad163f4ba92a234518591fe308d4,❌ Différent
38477f48832879b0cd46473414eacd34 - 90dacdf21ee27da15dc617f9367059c5,❌ Différent
90dacdf21ee27da15dc617f9367059c5 - 38477f48832879b0cd46473414eacd34,❌ Différent
aab75aa1f5193276ac3cbc7553aec8b2 - e9775d422f0e9b22ea0cbbb12bb87c15,❌ Différent
e9775d422f0e9b22ea0cbbb12bb87c15 - aab75aa1f5193276ac3cbc7553aec8b2,❌ Différent
f03f2d60bdd92328ea5c8cff58c2266e - dd4a7c293312445ff9bd7e65f4275372,✅ Même PDV
dd4a7c293312445ff9bd7e65f4275372 - f03f2d60bdd92328ea5c8cff58c2266e,✅ Même PDV
a23f6575b8ac942c7093d0ed74dba689 - 7c2cb133504b4a0500c8e929da583e6e,❌ Différent
7c2cb133504b4a0500c8e929da583e6e - a23f6575b8ac942c7093d0ed74dba689,❌ Différent
25757b5f7794ba3275fc874de774431d - 071deb403ec793a4bce29d12575124d3,✅ Même PDV
071deb403ec793a4bce29d12575124d3 - 25757b5f7794ba3275fc874de774431d,✅ Même PDV
94aac138ffb40838689ed219f79676f0 - e9ba1fc0710ce57d2e2c915a8957286a,✅ Même PDV
e9ba1fc0710ce57d2e2c915a8957286a - 94aac138ffb40838689ed219f79676f0,✅ Même PDV
01f9a34875c65043f6477fa33770dccf - 3ebd09b3c82cff9b337523b0815cab9c,❌ Différent
3ebd09b3c82cff9b337523b0815cab9c - 01f9a34875c65043f6477fa33770dccf,❌ Différent
4a193950df1864ba9612c209ead4acef - 9a85ce9db3f3dc6aa2cb76bba192130a,✅ Même PDV
9a85ce9db3f3dc6aa2cb76bba192130a - 4a193950df1864ba9612c209ead4acef,✅ Même PDV
72b7898ab8a30d0854c60a449b75183c - 7a9b5cc7d280bfe6c7059b673d463b77,✅ Même PDV
7a9b5cc7d280bfe6c7059b673d463b77 - 72b7898ab8a30d0854c60a449b75183c,✅ Même PDV
9845e7584b8fa192b47c343f2a2a9ff3 - 3ebd09b3c82cff9b337523b0815cab9c,❌ Différent
3ebd09b3c82cff9b337523b0815cab9c - 9845e7584b8fa192b47c343f2a2a9ff3,❌ Différent
561c6d5be2261f9bf8fdfc573317540e - 66073ffe37fbb545b8f430aa27290f28,✅ Même PDV
66073ffe37fbb545b8f430aa27290f28 - 561c6d5be2261f9bf8fdfc573317540e,✅ Même PDV
c2df2c412d467eb6ac2af488c7145059 - a154d1b391de7cb2d43ccf65d865b400,❌ Différent
a154d1b391de7cb2d43ccf65d865b400 - c2df2c412d467eb6ac2af488c7145059,❌ Différent
0f0a6641200d32faffa37c211855cf5f - e884152219093df266f9853220b95a36,❌ Différent
e884152219093df266f9853220b95a36 - 0f0a6641200d32faffa37c211855cf5f,❌ Différent
542b658caaaff901156bae26ec370ba4 - 25bfd7171f3440018033952928035bd5,❌ Différent
25bfd7171f3440018033952928035bd5 - 542b658caaaff901156bae26ec370ba4,❌ Différent
77ac8f279622727638e030f9c48d23df - 529d95c696590138f498bd52b80d20b4,❌ Différent
529d95c696590138f498bd52b80d20b4 - 77ac8f279622727638e030f9c48d23df,❌ Différent
00765807d5d0d4ecac0bbeb96e42a213 - d8147273fcb4e72aac4e48a5b124a78c,❌ Différent
d8147273fcb4e72aac4e48a5b124a78c - 00765807d5d0d4ecac0bbeb96e42a213,❌ Différent
80186b6cb3cd5893238ef7974f8282a1 - 9c7861895904f4873f61948cef8a6395,❌ Différent
9c7861895904f4873f61948cef8a6395 - 80186b6cb3cd5893238ef7974f8282a1,❌ Différent
87c18e697057355f43ee76612abc4541 - c481f368c801faee82d4d933b48a894c,❌ Différent
c481f368c801faee82d4d933b48a894c - 87c18e697057355f43ee76612abc4541,❌ Différent
a50faf2b64bcbe77d1760a7f42b76c0b - d2746f1efc6549b0fada2d93e6c5c150,❌ Différent
d2746f1efc6549b0fada2d93e6c5c150 - a50faf2b64bcbe77d1760a7f42b76c0b,❌ Différent
82242c923ac022c44f3ee58e7121323b - 805da57e7df60d2d9e6547534ed582f9,❌ Différent
805da57e7df60d2d9e6547534ed582f9 - 82242c923ac022c44f3ee58e7121323b,❌ Différent
773d3abaeb734a6d453c9c54c7d1e2c3 - dd061bb49e256b6b388ff2dd147228af,🤔 Incertain
dd061bb49e256b6b388ff2dd147228af - 773d3abaeb734a6d453c9c54c7d1e2c3,🤔 Incertain
e9e32a142be5c7ba9d49d657c705feff - 66a3fa302043f13f22d0d7dd73a32e87,❌ Différent
66a3fa302043f13f22d0d7dd73a32e87 - e9e32a142be5c7ba9d49d657c705feff,❌ Différent
65b486055e926f1e0902b35fc5e4771b - da97c2ef0e83b5387e93a16f8dce1037,❌ Différent
da97c2ef0e83b5387e93a16f8dce1037 - 65b486055e926f1e0902b35fc5e4771b,❌ Différent
408d4437e4722abc455abce7917b000f - fb18af0e02d475612a6bfd318c1ac92d,❌ Différent
fb18af0e02d475612a6bfd318c1ac92d - 408d4437e4722abc455abce7917b000f,❌ Différent
3d633ed18a3b211021d1660051807b31 - ad42c7f492bae6977e26bf9900862f10,❌ Différent
ad42c7f492bae6977e26bf9900862f10 - 3d633ed18a3b211021d1660051807b31,❌ Différent
96c5d338e245c7d1cf74b5fff5afc43a - 8b59c8e19f9f104534629629cbc041b8,❌ Différent
8b59c8e19f9f104534629629cbc041b8 - 96c5d338e245c7d1cf74b5fff5afc43a,❌ Différent
df712fb137030132a6f2e4e3b0ca2e9b - 6f540d32e088c8a00180f764308c31e8,✅ Même PDV
6f540d32e088c8a00180f764308c31e8 - df712fb137030132a6f2e4e3b0ca2e9b,✅ Même PDV
2137f7d97be8f978badbbf7c671fc015 - 3a417801c026bc0b792d688a40482d98,✅ Même PDV
3a417801c026bc0b792d688a40482d98 - 2137f7d97be8f978badbbf7c671fc015,✅ Même PDV
5da26fde0d129208ee74bad181f30768 - fd7fdaf787d886c3cae51421b6e5fbcf,❌ Différent
fd7fdaf787d886c3cae51421b6e5fbcf - 5da26fde0d129208ee74bad181f30768,❌ Différent
4dec632f23a4702468cc76a2830ad09c - 5d84d6786f637e0007935bf033e424c2,✅ Même PDV
5d84d6786f637e0007935bf033e424c2 - 4dec632f23a4702468cc76a2830ad09c,✅ Même PDV
f2aa3472c5e648437a69c4b0eb655866 - d221cd71d307bee2da552ae9c681b194,❌ Différent
d221cd71d307bee2da552ae9c681b194 - f2aa3472c5e648437a69c4b0eb655866,❌ Différent
59c6346fe8ca8d0b04e111473bdaf1ad - bafe67eeb7b7a2f315b8cbcd4c258adc,❌ Différent
bafe67eeb7b7a2f315b8cbcd4c258adc - 59c6346fe8ca8d0b04e111473bdaf1ad,❌ Différent
0716b6f6ecd1a4664f02618ceebb1c05 - 9652918249910b75a6fd3a4a0d0e30ea,❌ Différent
9652918249910b75a6fd3a4a0d0e30ea - 0716b6f6ecd1a4664f02618ceebb1c05,❌ Différent
24a9d62d72f005596911f104eebe9941 - f5f14e975dc09603f1cb1cd40d0ecc68,❌ Différent
f5f14e975dc09603f1cb1cd40d0ecc68 - 24a9d62d72f005596911f104eebe9941,❌ Différent
51861e47f525033c344281753222cb75 - ab36fb9aa6787faf75c5db990db06759,❌ Différent
ab36fb9aa6787faf75c5db990db06759 - 51861e47f525033c344281753222cb75,❌ Différent
507012af862938f5dbac74d7f3b59fab - 6cd4806ec340dc269df9e20804dcb12d,❌ Différent
6cd4806ec340dc269df9e20804dcb12d - 507012af862938f5dbac74d7f3b59fab,❌ Différent
27621b0bbd248bf2a6f888a18235036e - 1f3394137f1ba25985f92c5b05acff4b,❌ Différent
1f3394137f1ba25985f92c5b05acff4b - 27621b0bbd248bf2a6f888a18235036e,❌ Différent
66ce375b8b88f8f32e4d5edf9442f2d3 - b0fff51132fcc6b37e5800c0c3b01c0d,❌ Différent
b0fff51132fcc6b37e5800c0c3b01c0d - 66ce375b8b88f8f32e4d5edf9442f2d3,❌ Différent
eb5e5667979227728a4a5f1f24afabb3 - 34ab27f29d04b8491ddb162bc4c79bd6,❌ Différent
34ab27f29d04b8491ddb162bc4c79bd6 - eb5e5667979227728a4a5f1f24afabb3,❌ Différent
1a84eba22b031896c83ce5ce841ac8fe - a10d3fc02b267be9eb2ac380c557a0a1,❌ Différent
a10d3fc02b267be9eb2ac380c557a0a1 - 1a84eba22b031896c83ce5ce841ac8fe,❌ Différent
100ff838eca2359d83138f098c402893 - 7591e9adc1c17cbcbc484f30731c13d4,🤔 Incertain
7591e9adc1c17cbcbc484f30731c13d4 - 100ff838eca2359d83138f098c402893,🤔 Incertain
c5e17652d738e38a9e7a9e70c547f460 - c838f6afec34b359aa5d64624c2d10f9,❌ Différent
c838f6afec34b359aa5d64624c2d10f9 - c5e17652d738e38a9e7a9e70c547f460,❌ Différent
b5e535d5f5fc2ac0b7fc96e1d274e95d - 28e7fc484843d53659b19e1fda7d4bea,🤔 Incertain
28e7fc484843d53659b19e1fda7d4bea - b5e535d5f5fc2ac0b7fc96e1d274e95d,🤔 Incertain
